Tap_01,Tap_02,Tap_03,Tap_04,Tap_05,Tap_06,Tap_07,Tap_08,Tap_09,Tap_10,Tap_11,Tap_12,Tap_13,Tap_14,Tap_15,Tap_16,Tap_17,Tap_18,Tap_19,Tap_20,Tap_21,Tap_22,Tap_23,Tap_24,Tap_25
-62.91174,-65.27557,-69.72842,-76.29448,-93.94384,-113.4097,-123.3328,-136.7752,-145.0555,-157.7751,-188.932,-207.3548,-215.1735,-210.0938,-179.7587,-63.87625,-58.02682,-54.7119,-55.20435,-55.57334,-56.54083,-57.6789,-57.47419,-55.73343,-48.35105
-61.44619,-64.52577,-68.87716,-75.32501,-92.98574,-112.3444,-122.16,-135.7955,-143.9611,-157.0245,-187.8153,-206.385,-214.2134,-209.1372,-178.8314,-63.72416,-57.90029,-54.52604,-55.0718,-55.49736,-56.47763,-57.58968,-57.35126,-55.60672,-48.19904
-62.17361,-65.08545,-69.52625,-76.01601,-93.78238,-113.0728,-123.0505,-136.5013,-144.6023,-157.9517,-188.4658,-206.9648,-214.7589,-209.566,-179.1476,-63.65892,-57.94247,-54.7119,-55.25957,-55.7253,-56.66747,-57.80994,-57.53832,-55.72288,-48.2968
-61.88478,-64.66296,-69.00498,-75.49003,-93.39497,-112.6595,-122.5509,-136.0906,-144.1822,-157.8966,-188.0321,-206.5537,-214.3443,-209.2581,-178.9309,-63.5502,-57.85811,-54.58139,-55.12703,-55.57334,-56.55151,-57.70074,-57.47419,-55.74387,-48.3619
-62.19501,-65.19107,-69.62215,-76.2429,-94.07301,-113.3444,-123.1699,-136.6382,-144.7902,-157.8746,-188.6609,-207.1229,-214.9117,-209.7749,-179.3207,-63.77839,-58.11118,-54.81156,-55.33689,-55.74701,-56.73078,-57.88638,-57.63923,-55.86003,-48.43786
-62.14152,-65.41289,-70.00521,-76.51092,-94.2345,-113.4966,-123.4197,-136.8174,-144.9118,-158.305,-188.932,-207.3864,-215.217,-210.061,-179.5841,-63.7459,-58.0479,-54.75854,-55.25957,-55.682,-56.68869,-57.87546,-57.63923,-55.85991,-48.4053
-62.17361,-65.03264,-69.60086,-76.20152,-94.04088,-113.3662,-123.2025,-136.7119,-145.0002,-158.3712,-188.8886,-207.397,-215.217,-210.0719,-179.6052,-64.41988,-58.43806,-55.03302,-55.50257,-55.88811,-56.85753,-58.01563,-57.80241,-56.06047,-48.63307
-62.20559,-65.10658,-69.64342,-76.14995,-93.92245,-113.3552,-123.2977,-136.8383,-145.0004,-157.6537,-188.997,-207.5656,-215.4352,-210.3029,-179.8054,-64.02859,-58.26934,-54.96889,-55.48048,-55.89908,-56.91029,-58.09386,-57.88127,-56.15541,-48.77423
-63.13613,-65.81425,-70.36692,-76.82032,-94.63296,-114.0946,-124.0279,-137.6179,-145.8295,-159.0223,-189.8535,-208.4089,-216.2535,-211.1936,-180.722,-64.30041,-58.41697,-55.05746,-55.64616,-56.09435,-57.07914,-58.26682,-58.01148,-56.25036,-48.74158
-62.67614,-65.64539,-69.96251,-76.46967,-94.47147,-113.9206,-123.8541,-137.3651,-145.4315,-159.0995,-189.6584,-208.2508,-216.0681,-210.9406,-180.3849,-64.24591,-58.43806,-55.11053,-55.6572,-56.09435,-57.06847,-58.25766,-58.02429,-56.25036,-48.75253
-62.81521,-65.5292,-70.0902,-76.66576,-94.69755,-114.2142,-124.2861,-137.9761,-146.2827,-159.3313,-190.5799,-209.2416,-217.1155,-211.9524,-181.2699,-63.9741,-58.31152,-55.09068,-55.67929,-56.13776,-57.12135,-58.29959,-58.0353,-56.27135,-48.75253
-64.18448,-67.11356,-71.4512,-78.14059,-96.14007,-115.8775,-125.9501,-139.5668,-147.974,-161.1745,-192.3797,-211.0757,-218.9485,-213.756,-182.9135,-63.70242,-58.05845,-54.82497,-55.37002,-55.81213,-56.77311,-57.94098,-57.67223,-55.91277,-48.43786
-62.78312,-65.67708,-70.05828,-76.60388,-94.68678,-114.3772,-124.4623,-138.2605,-146.6807,-159.8501,-191.1438,-209.8001,-217.7375,-212.5462,-181.7335,-63.76752,-57.95312,-54.61224,-55.14912,-55.59505,-56.60415,-57.75534,-57.51821,-55.74398,-48.32935
-63.75672,-66.36363,-70.6432,-77.47021,-95.70933,-115.5188,-125.5265,-139.4614,-147.764,-161.1193,-192.5313,-211.3813,-219.3195,-214.0308,-182.9978,-63.30013,-57.71048,-54.43747,-54.99437,-55.42138,-56.37211,-57.49139,-57.28524,-55.54354,-48.17734
-63.41439,-66.00451,-70.60068,-77.3052,-95.42944,-115.1817,-125.2985,-139.0611,-147.3771,-160.6558,-192.0762,-210.8858,-218.894,-213.6349,-182.7028,-63.40885,-57.68939,-54.45961,-55.06076,-55.49736,-56.49862,-57.63522,-57.39718,-55.60683,-48.19914
-64.06694,-66.89175,-71.30236,-78.02714,-96.18299,-115.9755,-126.0695,-139.8934,-148.3388,-161.914,-193.1059,-211.9717,-220.0178,-214.7346,-183.6089,-63.50658,-57.61558,-54.28005,-54.81776,-55.23687,-56.20315,-57.31855,-57.07616,-55.32189,-47.96032
-63.23254,-66.19463,-70.81331,-77.65585,-95.73084,-115.4863,-125.5917,-139.4404,-147.7087,-161.2407,-192.6182,-211.5079,-219.5377,-214.2507,-183.1835,-63.3,-57.55231,-54.2714,-54.79567,-55.1827,-56.1294,-57.25303,-57.01212,-55.27969,-47.99297
-63.85312,-66.786,-71.04734,-77.65585,-95.88156,-115.7255,-125.8849,-139.6721,-148.2282,-161.307,-193.1168,-212.0034,-220.0614,-214.9106,-183.9105,-63.20228,-57.70005,-54.51497,-55.06065,-55.48651,-56.47763,-57.64429,-57.42828,-55.67014,-48.32925
-63.57498,-66.5325,-70.85597,-77.41864,-95.66627,-115.6275,-125.798,-139.6301,-147.996,-161.8367,-192.9867,-211.8348,-219.9632,-214.6906,-183.5628,-63.36536,-57.75266,-54.60354,-55.24853,-55.73627,-56.76255,-57.96281,-57.70524,-55.93387,-48.47041
-63.0722,-66.35294,-70.98356,-77.77962,-95.90324,-115.5949,-125.6786,-139.4193,-147.8965,-161.0753,-192.6723,-211.5079,-219.5486,-214.3497,-183.3731,-63.87625,-58.12172,-54.82497,-55.42525,-55.84481,-56.81532,-58.00471,-57.7694,-55.96552,-48.48116
-63.67126,-66.279,-70.72839,-77.34631,-95.4511,-115.3666,-125.4614,-139.3246,-147.6533,-160.7773,-192.4121,-211.3182,-219.3195,-214.0748,-183.0821,-63.1153,-57.5734,-54.51497,-55.11587,-55.59505,-56.59372,-57.73167,-57.51632,-55.72288,-48.25329
