Tap_01,Tap_02,Tap_03,Tap_04,Tap_05,Tap_06,Tap_07,Tap_08,Tap_09,Tap_10,Tap_11,Tap_12,Tap_13,Tap_14,Tap_15,Tap_16,Tap_17,Tap_18,Tap_19,Tap_20,Tap_21,Tap_22,Tap_23,Tap_24,Tap_25
-61.3177,-64.35677,-68.79204,-75.32501,-92.85671,-112.0507,-121.8314,-135.2793,-143.3311,-156.5168,-186.8179,-205.2149,-212.8823,-207.8398,-177.7403,-64.22417,-58.49078,-55.2346,-55.78975,-56.27886,-57.21632,-58.42145,-58.14532,-56.4086,-48.96955
-61.7349,-64.50465,-68.8878,-75.3972,-93.03957,-112.2247,-122.0405,-135.3319,-143.5633,-156.7596,-186.9805,-205.3203,-213.046,-208.0156,-177.9089,-64.31128,-58.70178,-55.52246,-56.08797,-56.57193,-57.53289,-58.71461,-58.49738,-56.74607,-49.22986
-61.54235,-64.19821,-68.62178,-74.97436,-92.60896,-111.8115,-121.5953,-135.0371,-143.3199,-156.1747,-186.6336,-204.9831,-212.6859,-207.6088,-177.4664,-64.68082,-58.89147,-55.66418,-56.23156,-56.72388,-57.70162,-58.92212,-58.6717,-56.86223,-49.26241
-61.25364,-64.25102,-68.61127,-75.20125,-92.70599,-111.8985,-121.6278,-135.0582,-143.2315,-156.7596,-186.4926,-204.8356,-212.5005,-207.4878,-177.4769,-64.60484,-58.70168,-55.36745,-55.82288,-56.20289,-57.153,-58.3341,-58.0793,-56.29245,-48.77413
-61.26433,-64.28271,-68.44102,-74.93296,-92.57682,-111.7789,-121.5627,-134.9423,-142.933,-156.2852,-186.2758,-204.6142,-212.2821,-207.224,-177.203,-64.14806,-58.34315,-55.00211,-55.53571,-55.95313,-56.9525,-58.11393,-57.87943,-56.10266,-48.64402
-61.73502,-64.24046,-68.70704,-75.10828,-92.69524,-111.7898,-121.6495,-134.9527,-143.0436,-156.241,-186.4384,-204.6775,-212.3258,-207.257,-177.1714,-63.80027,-57.98464,-54.61461,-55.13807,-55.55164,-56.49874,-57.63522,-57.41919,-55.65958,-48.2751
-61.22154,-64.01865,-68.46231,-74.89171,-92.46916,-111.5615,-121.302,-134.6893,-142.8557,-155.6228,-186.0915,-204.4245,-212.1185,-207.0811,-177.0871,-63.88712,-58.12172,-54.79175,-55.30375,-55.75787,-56.72023,-57.87365,-57.64836,-55.89156,-48.48116
-61.45689,-64.42002,-68.82409,-75.39706,-92.88901,-112.0181,-121.8233,-135.1212,-143.2978,-156.6824,-186.677,-204.9304,-212.5767,-207.4769,-177.3716,-63.40885,-57.72103,-54.55925,-55.14912,-55.62772,-56.62537,-57.79902,-57.52921,-55.77552,-48.35105
-61.92746,-64.73689,-69.09011,-75.63427,-93.19043,-112.3008,-122.2115,-135.4899,-143.6184,-156.8702,-187.0456,-205.3731,-213.0895,-208.0487,-177.9721,-63.81114,-58.09008,-54.78068,-55.29259,-55.73616,-56.67813,-57.80812,-57.51632,-55.71222,-48.26414
-62.14127,-64.81096,-69.12203,-75.59303,-93.19043,-112.3877,-122.2468,-135.7533,-143.8949,-156.4396,-187.3274,-205.6999,-213.4386,-208.3786,-178.2038,-63.90899,-58.17444,-54.84711,-55.33689,-55.73616,-56.66747,-57.79902,-57.54932,-55.80728,-48.42701
-61.67059,-64.26171,-68.66435,-75.22188,-92.96422,-112.1594,-121.8885,-135.2793,-143.3643,-157.2894,-186.9915,-205.4257,-213.1768,-208.1037,-177.9405,-63.49571,-57.93192,-54.86692,-55.48048,-56.00751,-57.02625,-58.20305,-57.95646,-56.18695,-48.77413
